1	﻿怎么更改花呗手机号码	我的花呗是以前的手机号码，怎么更改成现在的支付宝的号码手机号	1
2	也开不了花呗，就这样了？完事了	真的嘛？就是花呗付款	0
3	花呗冻结以后还能开通吗	我的条件可以开通花呗借款吗	0
4	如何得知关闭借呗	想永久关闭借呗	0
5	花呗扫码付钱	二维码扫描可以用花呗吗	0
6	花呗逾期后不能分期吗	我这个 逾期后还完了 最低还款 后 能分期吗	0
7	花呗分期清空	花呗分期查询	0
8	借呗逾期短信通知	如何购买花呗短信通知	0
9	借呗即将到期要还的账单还能分期吗	借呗要分期还，是吗	0
10	花呗为什么不能支付手机交易	花呗透支了为什么不可以继续用了	0
11	在吗，双***有临时花呗额度吗	花呗临时额度到时间怎么办	0
12	我什么时候开通了花呗	查我什么时候用过，花呗	0
13	花呗每月还了最低还款后还会有万分之五的利息吗	花呗每个月最低还款怎么算	0
14	我想用蚂蚁借呗怎么用不了	蚂蚁借呗设置了一次性还款，现在想分期还款，怎么操作	0
15	花呗也不能用了	花呗没用过	0
16	花呗的安全没有验证成功	花呗安全验证没通过怎么回事	1
17	我开通不了借呗	我要申请借呗	0
18	借呗还款了，额度未恢复	借呗还款后额度没有恢复还显示借款	1
19	就是我花呗忘记还款了。逾期一天。有事吗	花呗账单在到期当天还款是逾期吗	0
20	我问你我借呗怎么要还钱	怎么一次性还蚂蚁借呗	0
21	是否有花呗就不可以借呗	不实用花呗就没有借呗吗	0
22	闲鱼可以使用花呗吗	花呗可以在闲鱼上面交易吗	1
23	花呗可以买手机吗	花呗逾期一天可以么	0
24	借呗每月还款时间	借呗多少天还款	0
25	花呗更改绑定银行卡	如何更换花呗绑定银行卡	1
26	人脸验证开通花呗	花呗怎么验证	0
27	借呗可以提前还第一期吗	蚂蚁借呗借款可以提前一次性还清吗	0
28	花呗付款成功为何美团显示支付超时	美团订单没显示付款成功但是花呗显示付了三遍订单	0
29	花呗我已经还了，现在要还借呗	我上个月已经还过的一笔，现在退回来的钱怎么还直接退回花呗	0
30	国外账户可以开通借呗吗	借呗逾期还能开通吗	0
31	但是我银行卡支付的为什么退回花呗	我这件衣服钱款为什么退回花呗	0
32	花呗***期免息	蚂蚁花呗***期免息什么意思	1
33	已经还了，借呗还能用吗	借呗逾期后还能借款吗	0
34	开通花呗不用的话会有费用吗	开通花呗不用，会不会产生费用	1
35	花呗怎样邀请好友	邀请好友开通借吧怎样邀请的	0
36	我没有这个蚂蚁借呗	我的蚂蚁借呗用不了了怎么回事？没有逾期	0
37	我昨天欠借呗多少钱	我的借呗欠了多少钱	0
38	为什么我不能开通花呗	开通花呗提示安全不通过	0
39	借呗提额输入密码了怎么还没提额	借呗提额还需要输入支付密码吗	0
40	我没给自己用花呗充话费，怎么自动充	这几天用花呗交了三次话费都没充上 怎么回事	0
41	花呗付款后，扣款成功为什么显示未支付	支付宝花呗扣款，商家显示未扣款	0
42	我蚂蚁借呗放款没有到账	借呗还款为什么没有到帐	1
43	上个月都用花呗，这个月也还款了，怎么还不能提额？是不是每个月都要用了一定的额度，才能提额	这个钱是***月的，退款之前我已经还清花呗了，现在不知怎么才能使用，现在买东西，花呗都是在我额度***里面扣的	0
44	开通花呗收款后，符合什么条件的商家或买家才可以使用花呗交易	我是商家，我已经申请了开通蚂蚁花呗和信用卡收款，为什么还是不可以	0
45	信用度多少才能用花呗	蚂蚁花呗多少积分才可以用	0
46	刚消费的，扣卡里的钱，没扣花呗的钱，怎么回事	我银行里有钱，怎么证明是花呗付的款	0
47	如何在花呗删除账单记录	花呗为什么说删除交易记录	0
48	花呗怎么付款不鸟了	帮忙看一下我花呗怎么用不了	1
49	为什么我的花呗一直没调	为什么我的花呗没有分期的功能	0
50	花呗临时额度可以分期还吗	临时额度和实际额度可以按一个账单一起分期还款吗	0
51	为啥我花呗叫话费都交不了	花呗暂时不能交话费 还是以后都不可以了	0
52	能用花呗收款收顾客的钱吗	私企可以花呗收款吗	0
53	蚂蚁借呗可以延长分期	可以晚***天还蚂蚁借呗吗	0
54	没有借呗怎么开通借呗	有没有什么办法可以自己开通蚂蚁借呗	0
55	商家二维码怎么开通花呗支付宝	怎么说不支持花呗开通商户	0
56	她的花呗已经逾期了	我的花呗逾期了 我现在一次性还完了	0
57	在支付宝找不到花呗	可我在支付宝花呗里没看到进账	0
58	支付宝花呗分期还款怎么提前还清	蚂蚁花呗分期付款可以全部提前还款吗	1
59	注销了一个花呗账号，新账号是否还能再开通花呗了	把以前的帐号注销，现在这个能开通花呗吗	1
60	花呗账单还没出，想提前还了怎么还	提前还花呗部分	0
61	被封的借呗什么时候恢复	求求你把我的借呗恢复	0
62	为何蚂蚁借呗不能使用了	我的借呗***年能有***年怎么不能用了	1
63	帮我开通蚂蚁花呗零时额度	里可以看到我花呗的临时额度	0
64	用了这么久的支付宝也不给开通借呗，哼	我用支付宝三四年了也不见给我开通借呗	1
65	花呗体验额度咋老这那	花呗体验额度最多是多少	0
66	借呗还款额度限制	还借呗余额限额	0
67	蚂蚁借呗的额度为什么会下降	为什么借呗额度被降低了，没有不良记录	1
68	花呗最低还款和花呗分期	花呗分期支持最低还款嘛	0
69	花呗开通年级	开通花呗添加银行卡	0
70	我想开通信用卡和花呗的收款码	我的蚂蚁花呗为什么不能开通吗	0
71	我花呗额度能不能给我调高点	为什么我的花呗的额度不升	0
72	花呗之前绑定的手机号码现在没用了，怎么解绑	花呗绑定的是另一个号码，蜜码和帐号忘记了，手机号码也注消了，怎么办	0
73	花呗线下还款是什么	花呗主动还款操作	0
74	我***月份花呗消费是***元，怎么要我还***元	我原本这个月总的花呗需要还***元，我还了一次***，又还了一个***，剩余的应该是***，为何现在的是***，应还额度为何莫名的多了***	1
75	用花呗刷卡可以吗	能用花呗扫一扫付款吗	0
76	花呗分期卖家手续费	花呗付款如何分期	0
77	花呗自动余额宝还款	缴纳电费 花呗自动扣款了，然后余额宝也扣款了	0
78	我的 借呗 在哪儿	借呗的qq	0
79	我的花呗没有绑定银行卡怎么还款	我还没有绑定银行卡，我花了花呗的钱，如果要还款的话要绑定银行卡才可以是吧	0
80	为什么双十二没有花呗零时额度	双***花呗有木有临时额度	0
81	借呗有晚一天还有没有逾期呀	借呗有逾期么	0
82	双***零时花呗额度	我要申请花呗临时额度	0
83	付款方式添加花呗怎么添加	怎样退出花呗付费方式	0
84	使用花呗支付会有短信提醒吗	***月***日的***元花呗没有支付提醒	0
85	借呗能提款不	借呗可以提款装修房子吗	0
86	我的花呗怎么不能用这个月还没有给我额度	花呗还款之后怎么额度没有了	0
87	付款金额多少可以使用花呗	花呗提额***到多少	0
88	怎么花呗不能支付	花呗付款不了怎么回事	1
89	花呗到还款日期还不了会怎么样	花呗现在为什么还不能还款	0
90	为什么我的收钱码打不开花呗收钱	我今天申请了花呗收款己通过，为什么不能使用花呗收款	0
91	我满足开通借呗的条件吗	我想咨询，为什么不能满足借呗条件	0
92	怎么感觉蚂蚁花呗钱越还欠的越多	我的花呗这怎么会欠你们这么多钱，请给我解释一下	0
93	借呗可以一次结清吗	借呗可以一年后再还吗	0
94	办理花呗分期后可以提前还清账单吗？利息高吗	提前还花呗要利息	0
95	花呗有退运费的	花呗的运费险退回哪	0
96	我前天 用了花呗，今天能够还款不，怎么还款	我用了蚂蚁花呗***元钱，不知道怎么还	0
97	找不到花呗	我的淘宝花呗怎么找不到	0
98	我绑定的银行卡还不上借呗	为啥我的花呗不能绑银行卡	0
99	我的花呗收不了款	我是厂家，人家用花呗付款，就是付***了，付不了	0
100	花呗支付可以使用购物津贴吗	使用购物津贴的费用可以用花呗吗	1
101	花呗还款有利息没	花呗还钱涨利息吗	0
102	为什么每个人的借呗日息不一样	为什么借呗利息有的高有的底	1
103	花呗服务怎么还款	我想还款，还花呗的钱	0
104	有的人不用花呗有***万的额度	花呗额度用完了	0
105	借呗还款余额有限额	蚂蚁借呗还款受到限额限制怎么办	0
106	借呗还款后是否可以恢复额度	借呗还款后额度怎么恢复不了	0
107	花呗不分期是不是叫没有手续费	花呗分期后全部结清有手续费吗	0
108	怎么邀请好友开通借呗	怎么邀请自己开通借呗	0
109	怎么开通，花呗收款	怎么注册可以花呗收钱的	1
110	我的花呗怎么用这用这不让用了	我花呗为什么不能用了	1
111	蚂蚁借呗分期付款能恢复额度吗	如何恢复借呗本身的额度	0
112	蚂蚁花呗还款期数可以更改吗	我之前设置的花呗分期还款现在可以更改吗	1
113	分期后花呗有多少额度	花呗可用额度	0
114	花呗里边的钱怎么办	退到花呗额度怎么办	0
115	花呗系统繁忙 是什么意思	点进花呗为什么是系统繁忙	1
116	支付宝如何用花呗预定酒店	我用花呗付酒店押金	0
117	信用卡和花呗支付是会	花呗和信用卡支付，也需要付款方复核	0
118	花呗交的电费为什么没有到账	我用花呗交电费，显示缴费成功，但没有到账，怎么回事	1
119	为什么借呗能开通花呗用不了	符合条件却不能开通花呗 借呗	0
120	我借呗能不能开通	如何开启借呗	1
121	不小心开通了花呗便利店周卡 如何取消	花呗分期 如何取消订单	0
122	花呗临时额度还了	临时花呗额度到期自动取消吗	0
123	蚂蚁花呗一天有使用次数限制吗	使用花呗付款功能每天有金额限制吗	0
124	花呗自动还款需要手续费ma	花呗自动还款还要收手续费吗	1
125	余额无法还花呗。绑定不了银行卡，如果还款	我的银行卡为什么不能还款给花呗	0
126	花呗可以买电动车吗	淘宝可以看花呗额度吗	0
127	借呗的自动还款怎样取消	借呗哪里取消自动还款	0
128	余额宝还借呗是还先存的还是还后存的	余额宝放三万，存半年，借呗会出吗	0
129	蚂蚁借呗，我的还款日不是今天	借呗还款日是怎嚒算	0
130	可以恢复删除的花呗账单吗	花呗咋删除	0
131	我是不是还是应该通过花呗还，也不能通过个人还吧	我花呗逾期了。不是故意逾期的	0
132	我点开看了花呗下月应还显示是***	花呗为什么显示下月还钱为零	0
133	花呗退款后为什么确认收货还是原来的价钱	退款花呗后为什么金额还是不变	1
134	借呗怎么操作主动还款	借呗还款怎么只有六个月的	0
135	借呗这次出现点我提额度永久的吗	怎么我的借呗没有额度了	0
136	花呗怎么不能用话费扣款	为什么花呗线下不能付款	0
137	同一张身份证两个支付宝账号都会有花呗吗	一个手机绑定多个账号的同时可以有多个花呗和借呗吗	0
138	我的花呗能重新评估吗	我想花呗升个几万	0
139	为什么我提前还不了花呗	为什么我现在花呗额度是负的，我想一次性还完却还不了	0
140	现在花呗不能用了是吧	麻烦不小，借呗搞得心情不好，现在花呗又不能支付	0
141	为什么我账户用不了花呗	要了我这个花呗，用不了什么情况，都差不多半年了	1
142	借呗提前还可以吗	如何提前还每个月借呗的钱	0
143	所以我今天用的花呗 就是下个月再还了	花呗是这个月花钱，下个月还款吗	1
144	花呗最后还款期能修改吗	我的花呗还款后可以恢复吗	0